ID Cliente,Churn,gênero,idoso,Parceiro,Dependentes,Meses contrato,Serviço telefone,Linhas multiplas,Serviço Internet,Segurança Online,Backup Online,Dispositivo_Proteção,Suporte Técnico,Tv Streaming,Filmes Streaming,Contrato,Conta Papel,Método pagamento,Cobrança Mensal,Cobrança Total,Cobrança diária
0002-ORFBO,Não,Mulher,Não,Sim,Sim,9,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Não,Um ano,Sim,Correspondência,65.6,593.3,2.1866666666666665
0003-MKNFE,Não,Homem,Não,Não,Não,9,Sim,Sim,DSL,Não,Não,Não,Não,Não,Sim,Mês a mês,Não,Correspondência,59.9,542.4,1.9966666666666666
0004-TLHLJ,Sim,Homem,Não,Não,Não,4,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Não,Não,Mês a mês,Sim,Eletrônico,73.9,280.85,2.4633333333333334
0011-IGKFF,Sim,Homem,Sim,Sim,Não,13,Sim,Não,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mês a mês,Sim,Eletrônico,98.0,1237.85,3.2666666666666666
0013-EXCHZ,Sim,Mulher,Sim,Sim,Não,3,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Não,Mês a mês,Sim,Correspondência,83.9,267.4,2.796666666666667
0013-MHZWF,Não,Mulher,Não,Não,Sim,9,Sim,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Mês a mês,Sim,Cartão de Crédito,69.4,571.45,2.3133333333333335
0013-SMEOE,Não,Mulher,Sim,Sim,Não,71,Sim,Não,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Transferência Bancária,109.7,7904.25,3.6566666666666667
0014-BMAQU,Não,Homem,Não,Sim,Não,63,Sim,Sim,Fibra óptica,Sim,Não,Não,Sim,Não,Não,Dois anos,Sim,Cartão de Crédito,84.65,5377.8,2.8216666666666668
0015-UOCOJ,Não,Mulher,Sim,Não,Não,7,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mês a mês,Sim,Eletrônico,48.2,340.35,1.6066666666666667
0016-QLJIS,Não,Mulher,Não,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Correspondência,90.45,5957.9,3.015
0017-DINOC,Não,Homem,Não,Não,Não,54,Não,Sem serviço,DSL,Sim,Não,Não,Sim,Sim,Não,Dois anos,Não,Cartão de Crédito,45.2,2460.55,1.5066666666666668
